food_name,dietary_type,meal_type,calories,protein,carbs,fats,portion_size,preparation_time,cuisine_type,ingredients,cooking_method,allergens,seasonality,difficulty_level,recipe_link
Grilled Chicken 154,Vegan,Pre-workout,657,6,90,3,2 serving(s),50,Mexican,"Ingredient 6, Ingredient 15",Steam,None,Fall,Hard,https://example.com/recipe_154
Salmon Steak 155,Paleo,Dinner,288,40,91,41,2 serving(s),8,Mediterranean,"Ingredient 6, Ingredient 17",Pan-fry,gluten,Spring,Easy,https://example.com/recipe_155
Tofu Curry 156,Vegetarian,Dinner,674,35,1,31,3 serving(s),33,Italian,"Ingredient 6, Ingredient 12",Boil,nuts,All Year,Easy,https://example.com/recipe_156
Smoothie 157,Keto,Pre-workout,679,7,41,41,1 serving(s),33,Italian,"Ingredient 6, Ingredient 15",Slow-cook,soy,Fall,Hard,https://example.com/recipe_157
Chicken Wrap 158,Vegan,Snacks,269,37,50,15,1 serving(s),38,Italian,"Ingredient 8, Ingredient 16",Pan-fry,fish,Spring,Hard,https://example.com/recipe_158
Keto Egg Salad 159,Gluten-Free,Lunch,300,8,69,37,2 serving(s),21,American,"Ingredient 1, Ingredient 12",Slow-cook,dairy,Spring,Hard,https://example.com/recipe_159
Salmon Steak 160,Vegetarian,Lunch,243,9,12,49,1 serving(s),38,American,"Ingredient 10, Ingredient 12",Grill,fish,Spring,Easy,https://example.com/recipe_160
Smoothie 161,Vegan,Breakfast,284,14,58,13,2 serving(s),25,Asian,"Ingredient 2, Ingredient 14",Steam,eggs,Fall,Medium,https://example.com/recipe_161
Grilled Chicken 162,Gluten-Free,Dinner,778,5,20,32,1 serving(s),25,Mexican,"Ingredient 2, Ingredient 13",Pan-fry,soy,Winter,Medium,https://example.com/recipe_162
Pasta Primavera 163,Paleo,Dinner,218,30,70,43,2 serving(s),6,International,"Ingredient 7, Ingredient 19",Bake,fish,Winter,Medium,https://example.com/recipe_163
Quinoa Bowl 164,Keto,Pre-workout,207,10,52,48,1 serving(s),14,Asian,"Ingredient 3, Ingredient 14",Boil,soy,Summer,Medium,https://example.com/recipe_164
Salmon Steak 165,No Restrictions,Lunch,762,42,46,32,1 serving(s),5,Italian,"Ingredient 10, Ingredient 12",Steam,shellfish,Spring,Hard,https://example.com/recipe_165
Smoothie 166,Mediterranean,Dinner,195,31,41,44,1 serving(s),24,American,"Ingredient 6, Ingredient 17",No-Cook,eggs,Winter,Easy,https://example.com/recipe_166
Quinoa Bowl 167,Mediterranean,Post-workout,718,46,67,7,1 serving(s),57,Asian,"Ingredient 4, Ingredient 13",Boil,shellfish,Summer,Hard,https://example.com/recipe_167
Tofu Curry 168,Gluten-Free,Pre-workout,638,12,77,19,3 serving(s),31,Indian,"Ingredient 7, Ingredient 19",Pan-fry,eggs,Fall,Easy,https://example.com/recipe_168
Salmon Steak 169,Vegetarian,Pre-workout,596,41,89,4,1 serving(s),48,American,"Ingredient 2, Ingredient 16",Air-fry,nuts,Fall,Hard,https://example.com/recipe_169
Chicken Wrap 170,No Restrictions,Dinner,284,14,42,18,1 serving(s),23,Mexican,"Ingredient 4, Ingredient 16",Slow-cook,shellfish,Winter,Hard,https://example.com/recipe_170
Vegan Stir-Fry 171,Gluten-Free,Post-workout,347,19,95,45,1 serving(s),30,Mediterranean,"Ingredient 9, Ingredient 11",Boil,soy,Fall,Medium,https://example.com/recipe_171
Vegan Stir-Fry 172,Vegan,Breakfast,678,30,41,27,2 serving(s),27,Italian,"Ingredient 7, Ingredient 12",Steam,gluten,All Year,Easy,https://example.com/recipe_172
Smoothie 173,Paleo,Lunch,488,48,30,33,3 serving(s),31,Middle Eastern,"Ingredient 2, Ingredient 17",Air-fry,dairy,All Year,Hard,https://example.com/recipe_173
Salmon Steak 174,Vegetarian,Post-workout,481,14,57,38,3 serving(s),21,Mediterranean,"Ingredient 1, Ingredient 11",Steam,gluten,Spring,Medium,https://example.com/recipe_174
Smoothie 175,Vegan,Lunch,790,25,57,32,2 serving(s),29,Mexican,"Ingredient 9, Ingredient 20",Air-fry,soy,Fall,Medium,https://example.com/recipe_175
Pasta Primavera 176,Keto,Dinner,753,5,86,17,3 serving(s),8,Mexican,"Ingredient 2, Ingredient 20",Pan-fry,fish,Winter,Medium,https://example.com/recipe_176
Pasta Primavera 177,Vegetarian,Pre-workout,175,9,8,24,2 serving(s),21,Asian,"Ingredient 10, Ingredient 11",No-Cook,shellfish,Fall,Easy,https://example.com/recipe_177
Tofu Curry 178,No Restrictions,Lunch,430,13,20,2,1 serving(s),15,Middle Eastern,"Ingredient 9, Ingredient 14",Grill,shellfish,Spring,Hard,https://example.com/recipe_178
Smoothie 179,Keto,Post-workout,654,38,18,10,3 serving(s),5,Indian,"Ingredient 7, Ingredient 11",Air-fry,eggs,Fall,Easy,https://example.com/recipe_179
Quinoa Bowl 180,Vegetarian,Lunch,188,28,18,43,1 serving(s),13,Mediterranean,"Ingredient 1, Ingredient 11",Pan-fry,soy,All Year,Hard,https://example.com/recipe_180
Smoothie 181,Vegan,Lunch,635,16,79,9,1 serving(s),18,American,"Ingredient 10, Ingredient 13",Slow-cook,soy,Summer,Hard,https://example.com/recipe_181
Tofu Curry 182,Vegetarian,Post-workout,229,45,77,21,3 serving(s),18,Italian,"Ingredient 6, Ingredient 18",Boil,shellfish,Summer,Easy,https://example.com/recipe_182
Tofu Curry 183,Vegetarian,Post-workout,668,15,3,31,1 serving(s),34,Mediterranean,"Ingredient 10, Ingredient 13",Boil,shellfish,All Year,Hard,https://example.com/recipe_183
Keto Egg Salad 184,Vegetarian,Breakfast,143,39,77,19,3 serving(s),12,Mexican,"Ingredient 1, Ingredient 14",Steam,soy,Winter,Easy,https://example.com/recipe_184
Quinoa Bowl 185,Mediterranean,Post-workout,668,37,77,41,1 serving(s),55,Asian,"Ingredient 10, Ingredient 17",Bake,soy,All Year,Easy,https://example.com/recipe_185
Smoothie 186,Vegan,Post-workout,715,10,77,26,2 serving(s),11,Mediterranean,"Ingredient 8, Ingredient 14",Boil,fish,Fall,Hard,https://example.com/recipe_186
Keto Egg Salad 187,Keto,Dinner,412,49,58,48,1 serving(s),21,Indian,"Ingredient 7, Ingredient 20",No-Cook,eggs,Summer,Hard,https://example.com/recipe_187
Keto Egg Salad 188,Mediterranean,Snacks,511,19,28,20,3 serving(s),34,International,"Ingredient 9, Ingredient 11",Bake,None,All Year,Medium,https://example.com/recipe_188
Keto Egg Salad 189,Vegetarian,Breakfast,165,47,44,29,2 serving(s),35,Italian,"Ingredient 6, Ingredient 17",Bake,fish,Fall,Easy,https://example.com/recipe_189
Salmon Steak 190,Mediterranean,Lunch,782,14,41,13,3 serving(s),15,Italian,"Ingredient 5, Ingredient 13",Steam,eggs,Summer,Hard,https://example.com/recipe_190
Pasta Primavera 191,Paleo,Snacks,398,19,46,39,1 serving(s),10,Asian,"Ingredient 6, Ingredient 19",Bake,None,Spring,Easy,https://example.com/recipe_191
Tofu Curry 192,Keto,Breakfast,418,8,70,1,2 serving(s),29,American,"Ingredient 5, Ingredient 14",Pan-fry,fish,Summer,Medium,https://example.com/recipe_192
Keto Egg Salad 193,Paleo,Breakfast,617,37,21,8,1 serving(s),52,Mexican,"Ingredient 5, Ingredient 15",Air-fry,shellfish,Fall,Medium,https://example.com/recipe_193
Tofu Curry 194,Paleo,Snacks,327,44,22,26,3 serving(s),42,International,"Ingredient 6, Ingredient 17",Bake,fish,Spring,Hard,https://example.com/recipe_194
Tofu Curry 195,Vegetarian,Breakfast,239,21,39,46,2 serving(s),20,Middle Eastern,"Ingredient 5, Ingredient 17",Bake,None,Summer,Hard,https://example.com/recipe_195
Keto Egg Salad 196,Vegetarian,Lunch,332,20,51,27,3 serving(s),21,Italian,"Ingredient 5, Ingredient 15",Slow-cook,gluten,Spring,Medium,https://example.com/recipe_196
Chicken Wrap 197,Keto,Post-workout,333,10,23,37,2 serving(s),6,Middle Eastern,"Ingredient 9, Ingredient 20",Bake,None,Spring,Easy,https://example.com/recipe_197
Oatmeal 198,Vegetarian,Dinner,665,15,12,22,1 serving(s),20,Asian,"Ingredient 7, Ingredient 19",Bake,nuts,All Year,Hard,https://example.com/recipe_198
Oatmeal 199,Mediterranean,Lunch,656,10,79,2,3 serving(s),44,Middle Eastern,"Ingredient 3, Ingredient 19",Boil,nuts,Summer,Medium,https://example.com/recipe_199
Pasta Primavera 200,Vegan,Lunch,323,24,68,15,1 serving(s),34,Asian,"Ingredient 9, Ingredient 12",Boil,eggs,Summer,Hard,https://example.com/recipe_200
Pasta Primavera 201,No Restrictions,Dinner,767,19,90,3,2 serving(s),26,Mexican,"Ingredient 6, Ingredient 19",Steam,None,Summer,Easy,https://example.com/recipe_201
Salmon Steak 202,Paleo,Post-workout,508,20,40,10,1 serving(s),7,Middle Eastern,"Ingredient 4, Ingredient 16",Pan-fry,dairy,Fall,Easy,https://example.com/recipe_202
Grilled Chicken 203,Keto,Dinner,297,34,3,41,3 serving(s),47,Indian,"Ingredient 5, Ingredient 17",Bake,nuts,Summer,Easy,https://example.com/recipe_203
Quinoa Bowl 204,Keto,Lunch,765,19,11,23,1 serving(s),8,Middle Eastern,"Ingredient 9, Ingredient 13",Bake,soy,Summer,Easy,https://example.com/recipe_204
Smoothie 205,Gluten-Free,Post-workout,372,29,92,25,1 serving(s),12,Italian,"Ingredient 4, Ingredient 20",Steam,dairy,Winter,Hard,https://example.com/recipe_205
Vegan Stir-Fry 206,Paleo,Dinner,459,40,40,28,1 serving(s),59,Mexican,"Ingredient 9, Ingredient 12",Grill,nuts,Summer,Easy,https://example.com/recipe_206
Oatmeal 207,Vegetarian,Lunch,417,47,21,33,2 serving(s),8,Mexican,"Ingredient 7, Ingredient 15",Air-fry,shellfish,Spring,Hard,https://example.com/recipe_207
Keto Egg Salad 208,Gluten-Free,Dinner,307,47,98,42,3 serving(s),24,International,"Ingredient 1, Ingredient 19",Boil,gluten,Winter,Medium,https://example.com/recipe_208
Pasta Primavera 209,No Restrictions,Pre-workout,345,36,19,3,2 serving(s),54,Middle Eastern,"Ingredient 3, Ingredient 12",Boil,fish,All Year,Easy,https://example.com/recipe_209
Keto Egg Salad 210,Keto,Breakfast,776,22,21,1,3 serving(s),37,American,"Ingredient 9, Ingredient 15",Grill,nuts,Fall,Medium,https://example.com/recipe_210
Chicken Wrap 211,Gluten-Free,Breakfast,349,34,10,31,2 serving(s),13,Indian,"Ingredient 10, Ingredient 11",Grill,gluten,All Year,Hard,https://example.com/recipe_211
Quinoa Bowl 212,Vegetarian,Snacks,555,49,60,46,1 serving(s),60,Indian,"Ingredient 3, Ingredient 20",No-Cook,dairy,Winter,Medium,https://example.com/recipe_212
Chicken Wrap 213,Gluten-Free,Pre-workout,526,38,26,5,1 serving(s),57,Asian,"Ingredient 3, Ingredient 17",Air-fry,gluten,Summer,Medium,https://example.com/recipe_213
Grilled Chicken 214,Paleo,Breakfast,574,46,34,13,2 serving(s),37,Mexican,"Ingredient 7, Ingredient 12",Pan-fry,gluten,Summer,Hard,https://example.com/recipe_214
Vegan Stir-Fry 215,Vegan,Lunch,494,12,53,8,3 serving(s),43,Middle Eastern,"Ingredient 10, Ingredient 18",Boil,dairy,Fall,Easy,https://example.com/recipe_215
Smoothie 216,No Restrictions,Pre-workout,181,6,36,9,1 serving(s),38,International,"Ingredient 1, Ingredient 11",Bake,shellfish,All Year,Hard,https://example.com/recipe_216
Quinoa Bowl 217,Mediterranean,Breakfast,174,9,41,27,2 serving(s),23,Middle Eastern,"Ingredient 8, Ingredient 17",Slow-cook,dairy,All Year,Easy,https://example.com/recipe_217
Vegan Stir-Fry 218,Keto,Post-workout,421,20,36,2,2 serving(s),26,Italian,"Ingredient 6, Ingredient 20",No-Cook,fish,Summer,Easy,https://example.com/recipe_218
Tofu Curry 219,Paleo,Snacks,326,8,1,39,3 serving(s),39,Mexican,"Ingredient 2, Ingredient 20",Bake,nuts,Winter,Hard,https://example.com/recipe_219
Vegan Stir-Fry 220,Gluten-Free,Snacks,316,40,0,3,2 serving(s),28,Indian,"Ingredient 3, Ingredient 17",Steam,shellfish,Spring,Hard,https://example.com/recipe_220
Salmon Steak 221,Gluten-Free,Pre-workout,602,36,20,14,1 serving(s),39,American,"Ingredient 9, Ingredient 17",No-Cook,shellfish,Fall,Medium,https://example.com/recipe_221
Grilled Chicken 222,Vegan,Lunch,350,24,64,30,2 serving(s),28,American,"Ingredient 2, Ingredient 13",Pan-fry,eggs,Summer,Medium,https://example.com/recipe_222
Smoothie 223,No Restrictions,Breakfast,346,26,20,36,3 serving(s),56,International,"Ingredient 3, Ingredient 18",No-Cook,dairy,Spring,Medium,https://example.com/recipe_223
Salmon Steak 224,Vegetarian,Snacks,393,40,24,26,3 serving(s),19,Mediterranean,"Ingredient 10, Ingredient 14",Steam,dairy,Winter,Medium,https://example.com/recipe_224
Salmon Steak 225,Keto,Pre-workout,529,19,76,41,1 serving(s),56,Indian,"Ingredient 4, Ingredient 17",Slow-cook,None,Winter,Medium,https://example.com/recipe_225
Keto Egg Salad 226,Keto,Breakfast,294,6,15,42,3 serving(s),26,International,"Ingredient 3, Ingredient 13",Air-fry,soy,Summer,Hard,https://example.com/recipe_226
Grilled Chicken 227,Vegan,Post-workout,499,11,19,26,3 serving(s),60,Middle Eastern,"Ingredient 6, Ingredient 19",Steam,gluten,All Year,Hard,https://example.com/recipe_227
Tofu Curry 228,Keto,Breakfast,604,19,35,24,3 serving(s),17,Asian,"Ingredient 3, Ingredient 14",Slow-cook,None,Summer,Hard,https://example.com/recipe_228
Oatmeal 229,Vegetarian,Breakfast,659,9,33,5,1 serving(s),5,Italian,"Ingredient 1, Ingredient 15",Grill,nuts,Fall,Medium,https://example.com/recipe_229
Vegan Stir-Fry 230,Vegetarian,Pre-workout,227,24,5,9,2 serving(s),24,Italian,"Ingredient 9, Ingredient 11",Slow-cook,dairy,All Year,Hard,https://example.com/recipe_230
Oatmeal 231,Vegan,Pre-workout,707,26,11,26,2 serving(s),15,Asian,"Ingredient 4, Ingredient 19",Steam,shellfish,Spring,Hard,https://example.com/recipe_231
Salmon Steak 232,Gluten-Free,Breakfast,759,38,96,31,2 serving(s),47,Middle Eastern,"Ingredient 10, Ingredient 15",Boil,dairy,Spring,Medium,https://example.com/recipe_232
Pasta Primavera 233,Mediterranean,Breakfast,185,35,78,14,2 serving(s),41,Indian,"Ingredient 8, Ingredient 14",Steam,shellfish,Summer,Medium,https://example.com/recipe_233
Quinoa Bowl 234,Vegetarian,Snacks,147,10,45,7,2 serving(s),33,Mediterranean,"Ingredient 1, Ingredient 20",Slow-cook,nuts,Summer,Medium,https://example.com/recipe_234
Salmon Steak 235,Vegetarian,Post-workout,190,11,30,36,2 serving(s),13,Indian,"Ingredient 8, Ingredient 18",Slow-cook,shellfish,Summer,Hard,https://example.com/recipe_235
Vegan Stir-Fry 236,Mediterranean,Breakfast,603,16,63,43,2 serving(s),60,Mexican,"Ingredient 6, Ingredient 11",No-Cook,None,All Year,Easy,https://example.com/recipe_236
Salmon Steak 237,Mediterranean,Dinner,709,38,32,4,3 serving(s),38,Indian,"Ingredient 6, Ingredient 18",Slow-cook,gluten,Fall,Easy,https://example.com/recipe_237
Chicken Wrap 238,Keto,Post-workout,303,18,50,40,3 serving(s),58,Middle Eastern,"Ingredient 3, Ingredient 12",Pan-fry,dairy,Winter,Easy,https://example.com/recipe_238
Chicken Wrap 239,Keto,Snacks,514,50,99,17,3 serving(s),33,Mediterranean,"Ingredient 5, Ingredient 12",Grill,eggs,Fall,Medium,https://example.com/recipe_239
Quinoa Bowl 240,Vegan,Pre-workout,741,36,6,19,3 serving(s),21,Asian,"Ingredient 10, Ingredient 17",No-Cook,soy,All Year,Easy,https://example.com/recipe_240
Oatmeal 241,No Restrictions,Pre-workout,319,33,100,13,2 serving(s),53,Asian,"Ingredient 7, Ingredient 15",No-Cook,gluten,Spring,Medium,https://example.com/recipe_241
Grilled Chicken 242,Vegetarian,Dinner,303,14,24,29,3 serving(s),46,Indian,"Ingredient 3, Ingredient 20",Pan-fry,dairy,Spring,Hard,https://example.com/recipe_242
Pasta Primavera 243,No Restrictions,Breakfast,279,42,28,36,3 serving(s),18,Mexican,"Ingredient 10, Ingredient 13",Boil,shellfish,All Year,Hard,https://example.com/recipe_243
Tofu Curry 244,Mediterranean,Pre-workout,737,19,16,3,2 serving(s),12,Mediterranean,"Ingredient 9, Ingredient 14",Slow-cook,None,Spring,Hard,https://example.com/recipe_244
Chicken Wrap 245,Paleo,Pre-workout,181,12,16,21,3 serving(s),42,Mediterranean,"Ingredient 4, Ingredient 14",Bake,fish,Winter,Easy,https://example.com/recipe_245
Grilled Chicken 246,Keto,Breakfast,186,44,72,11,1 serving(s),32,Indian,"Ingredient 1, Ingredient 18",Air-fry,shellfish,Fall,Hard,https://example.com/recipe_246
Pasta Primavera 247,Mediterranean,Lunch,245,26,77,48,3 serving(s),53,International,"Ingredient 3, Ingredient 19",Pan-fry,eggs,Fall,Hard,https://example.com/recipe_247
Tofu Curry 248,Vegetarian,Pre-workout,759,25,83,36,3 serving(s),19,Mediterranean,"Ingredient 7, Ingredient 16",Pan-fry,gluten,Winter,Hard,https://example.com/recipe_248
Chicken Wrap 249,Vegetarian,Lunch,679,10,74,14,2 serving(s),28,Asian,"Ingredient 8, Ingredient 14",Slow-cook,fish,Summer,Medium,https://example.com/recipe_249
Chicken Wrap 250,Gluten-Free,Breakfast,748,36,76,15,3 serving(s),60,Indian,"Ingredient 2, Ingredient 13",No-Cook,dairy,All Year,Easy,https://example.com/recipe_250
Keto Egg Salad 251,Mediterranean,Dinner,634,21,97,43,1 serving(s),18,Mediterranean,"Ingredient 3, Ingredient 17",Pan-fry,fish,Summer,Medium,https://example.com/recipe_251
Chicken Wrap 252,Mediterranean,Breakfast,146,38,89,44,2 serving(s),35,Italian,"Ingredient 3, Ingredient 13",Grill,eggs,Winter,Hard,https://example.com/recipe_252
Keto Egg Salad 253,Vegan,Lunch,272,30,1,19,3 serving(s),6,Mexican,"Ingredient 6, Ingredient 12",Air-fry,nuts,Spring,Easy,https://example.com/recipe_253
Vegan Stir-Fry 254,Vegetarian,Snacks,317,13,77,17,2 serving(s),37,Middle Eastern,"Ingredient 6, Ingredient 16",Bake,shellfish,Summer,Medium,https://example.com/recipe_254
Salmon Steak 255,Vegetarian,Snacks,249,18,81,15,2 serving(s),22,American,"Ingredient 10, Ingredient 19",Steam,eggs,All Year,Easy,https://example.com/recipe_255
Keto Egg Salad 256,Vegan,Dinner,115,17,82,19,3 serving(s),39,Indian,"Ingredient 3, Ingredient 14",Air-fry,soy,Fall,Hard,https://example.com/recipe_256
Chicken Wrap 257,Gluten-Free,Lunch,585,12,35,29,1 serving(s),30,Mediterranean,"Ingredient 5, Ingredient 15",Boil,nuts,Summer,Hard,https://example.com/recipe_257
Smoothie 258,Vegan,Snacks,297,32,73,40,2 serving(s),19,Middle Eastern,"Ingredient 2, Ingredient 19",Pan-fry,fish,Winter,Hard,https://example.com/recipe_258
Vegan Stir-Fry 259,Gluten-Free,Dinner,258,45,33,48,2 serving(s),51,Indian,"Ingredient 3, Ingredient 15",Bake,eggs,Spring,Medium,https://example.com/recipe_259
Smoothie 260,Gluten-Free,Snacks,185,33,96,13,1 serving(s),13,Mediterranean,"Ingredient 4, Ingredient 17",Slow-cook,shellfish,All Year,Easy,https://example.com/recipe_260
Grilled Chicken 261,Vegetarian,Dinner,696,28,4,28,2 serving(s),36,American,"Ingredient 3, Ingredient 20",Air-fry,None,Winter,Hard,https://example.com/recipe_261
Keto Egg Salad 262,Vegetarian,Post-workout,516,18,25,15,2 serving(s),16,Indian,"Ingredient 5, Ingredient 18",Pan-fry,eggs,All Year,Easy,https://example.com/recipe_262
Oatmeal 263,Keto,Lunch,120,5,20,2,1 serving(s),43,International,"Ingredient 10, Ingredient 17",No-Cook,soy,Spring,Medium,https://example.com/recipe_263
Grilled Chicken 264,Mediterranean,Pre-workout,469,46,25,4,2 serving(s),57,Mexican,"Ingredient 7, Ingredient 11",Bake,shellfish,Spring,Hard,https://example.com/recipe_264
Grilled Chicken 265,No Restrictions,Dinner,583,25,7,30,2 serving(s),52,Italian,"Ingredient 1, Ingredient 18",Slow-cook,soy,Fall,Easy,https://example.com/recipe_265
Vegan Stir-Fry 266,No Restrictions,Snacks,708,34,24,34,3 serving(s),60,International,"Ingredient 1, Ingredient 20",Steam,dairy,Summer,Hard,https://example.com/recipe_266
Quinoa Bowl 267,Paleo,Post-workout,364,15,92,17,1 serving(s),39,American,"Ingredient 9, Ingredient 14",Boil,eggs,Fall,Easy,https://example.com/recipe_267
Salmon Steak 268,Vegan,Post-workout,319,11,21,9,1 serving(s),21,Italian,"Ingredient 8, Ingredient 13",Boil,None,Spring,Hard,https://example.com/recipe_268
Smoothie 269,Vegetarian,Breakfast,305,23,42,29,1 serving(s),10,International,"Ingredient 2, Ingredient 20",No-Cook,nuts,All Year,Medium,https://example.com/recipe_269
Smoothie 270,Vegetarian,Lunch,222,39,87,20,3 serving(s),43,Asian,"Ingredient 3, Ingredient 20",Steam,soy,Summer,Medium,https://example.com/recipe_270
Smoothie 271,Vegan,Breakfast,484,5,23,14,3 serving(s),27,Mediterranean,"Ingredient 3, Ingredient 12",Air-fry,shellfish,Winter,Hard,https://example.com/recipe_271
Keto Egg Salad 272,Keto,Snacks,283,6,33,50,2 serving(s),46,Asian,"Ingredient 9, Ingredient 18",No-Cook,soy,Summer,Medium,https://example.com/recipe_272
Keto Egg Salad 273,Gluten-Free,Post-workout,680,33,69,40,3 serving(s),58,Mexican,"Ingredient 2, Ingredient 13",Grill,None,All Year,Hard,https://example.com/recipe_273
Tofu Curry 274,Keto,Dinner,480,50,46,8,2 serving(s),52,Italian,"Ingredient 10, Ingredient 19",Bake,gluten,Spring,Medium,https://example.com/recipe_274
Pasta Primavera 275,Mediterranean,Pre-workout,553,36,30,9,3 serving(s),41,Middle Eastern,"Ingredient 9, Ingredient 11",Pan-fry,shellfish,Winter,Medium,https://example.com/recipe_275
Salmon Steak 276,Keto,Pre-workout,149,30,86,31,3 serving(s),28,Italian,"Ingredient 5, Ingredient 15",Grill,soy,Fall,Easy,https://example.com/recipe_276
Vegan Stir-Fry 277,Gluten-Free,Dinner,235,23,1,1,3 serving(s),47,Italian,"Ingredient 1, Ingredient 19",Bake,None,Summer,Easy,https://example.com/recipe_277
Salmon Steak 278,Paleo,Snacks,418,46,57,22,3 serving(s),7,Asian,"Ingredient 9, Ingredient 12",Air-fry,nuts,Winter,Easy,https://example.com/recipe_278
Pasta Primavera 279,Paleo,Breakfast,262,44,62,44,1 serving(s),50,International,"Ingredient 4, Ingredient 18",Air-fry,eggs,Winter,Easy,https://example.com/recipe_279
Oatmeal 280,Vegetarian,Snacks,768,8,99,47,3 serving(s),52,Middle Eastern,"Ingredient 6, Ingredient 15",Bake,shellfish,Spring,Medium,https://example.com/recipe_280
Pasta Primavera 281,Mediterranean,Dinner,662,21,85,5,1 serving(s),13,Asian,"Ingredient 6, Ingredient 19",Pan-fry,None,Spring,Hard,https://example.com/recipe_281
Oatmeal 282,Mediterranean,Post-workout,133,15,32,9,3 serving(s),32,Mediterranean,"Ingredient 10, Ingredient 16",Boil,dairy,Spring,Medium,https://example.com/recipe_282
Tofu Curry 283,No Restrictions,Snacks,626,17,52,32,1 serving(s),24,Mexican,"Ingredient 8, Ingredient 17",Boil,None,Winter,Easy,https://example.com/recipe_283
Chicken Wrap 284,Paleo,Pre-workout,673,18,17,43,2 serving(s),59,Middle Eastern,"Ingredient 9, Ingredient 17",Pan-fry,soy,Spring,Easy,https://example.com/recipe_284
Grilled Chicken 285,Keto,Post-workout,602,19,90,2,2 serving(s),28,Mediterranean,"Ingredient 2, Ingredient 18",Bake,fish,Fall,Easy,https://example.com/recipe_285
Smoothie 286,Vegan,Lunch,546,50,1,14,3 serving(s),9,Middle Eastern,"Ingredient 1, Ingredient 18",Bake,shellfish,Winter,Medium,https://example.com/recipe_286
Smoothie 287,No Restrictions,Breakfast,661,6,83,21,3 serving(s),27,Indian,"Ingredient 10, Ingredient 18",Boil,dairy,Fall,Medium,https://example.com/recipe_287
Pasta Primavera 288,Mediterranean,Lunch,476,32,91,31,1 serving(s),44,Mediterranean,"Ingredient 6, Ingredient 15",Pan-fry,None,Summer,Medium,https://example.com/recipe_288
Quinoa Bowl 289,Mediterranean,Lunch,322,29,97,5,2 serving(s),50,American,"Ingredient 7, Ingredient 20",Grill,shellfish,Winter,Hard,https://example.com/recipe_289
Grilled Chicken 290,Vegan,Pre-workout,422,5,54,3,3 serving(s),32,Middle Eastern,"Ingredient 1, Ingredient 12",Boil,gluten,Winter,Hard,https://example.com/recipe_290
Oatmeal 291,Gluten-Free,Dinner,616,34,64,6,1 serving(s),15,American,"Ingredient 5, Ingredient 13",Bake,soy,Winter,Easy,https://example.com/recipe_291
Grilled Chicken 292,Vegetarian,Pre-workout,641,36,66,45,1 serving(s),47,Mexican,"Ingredient 2, Ingredient 20",Boil,eggs,Winter,Hard,https://example.com/recipe_292
Salmon Steak 293,Vegetarian,Pre-workout,346,49,52,21,1 serving(s),28,Italian,"Ingredient 1, Ingredient 17",Grill,eggs,All Year,Easy,https://example.com/recipe_293
Salmon Steak 294,Paleo,Post-workout,361,16,8,2,1 serving(s),6,Middle Eastern,"Ingredient 1, Ingredient 15",Grill,shellfish,Spring,Hard,https://example.com/recipe_294
Vegan Stir-Fry 295,Keto,Lunch,320,13,80,19,1 serving(s),27,Mediterranean,"Ingredient 7, Ingredient 19",Steam,shellfish,All Year,Medium,https://example.com/recipe_295
Vegan Stir-Fry 296,Vegetarian,Pre-workout,696,26,65,6,2 serving(s),22,Asian,"Ingredient 10, Ingredient 12",No-Cook,soy,Spring,Medium,https://example.com/recipe_296
Quinoa Bowl 297,Mediterranean,Lunch,757,38,87,31,3 serving(s),45,Mediterranean,"Ingredient 9, Ingredient 19",Steam,gluten,Spring,Medium,https://example.com/recipe_297
Grilled Chicken 298,Vegan,Breakfast,767,20,73,41,3 serving(s),29,American,"Ingredient 9, Ingredient 16",Air-fry,dairy,Fall,Medium,https://example.com/recipe_298
Quinoa Bowl 299,Keto,Dinner,175,16,41,6,3 serving(s),15,Mediterranean,"Ingredient 5, Ingredient 11",Boil,fish,Winter,Medium,https://example.com/recipe_299
Grilled Chicken 300,Paleo,Pre-workout,679,19,90,32,3 serving(s),36,Indian,"Ingredient 10, Ingredient 18",Steam,soy,Fall,Medium,https://example.com/recipe_300
Smoothie 301,Mediterranean,Dinner,518,8,19,29,1 serving(s),60,Italian,"Ingredient 10, Ingredient 15",Pan-fry,None,Fall,Hard,https://example.com/recipe_301
Grilled Chicken 302,Vegan,Dinner,585,46,3,44,1 serving(s),38,Italian,"Ingredient 6, Ingredient 16",Slow-cook,nuts,Fall,Hard,https://example.com/recipe_302
Smoothie 303,No Restrictions,Snacks,717,27,10,11,3 serving(s),60,Mediterranean,"Ingredient 9, Ingredient 14",Air-fry,None,All Year,Hard,https://example.com/recipe_303
Salmon Steak 304,Mediterranean,Breakfast,170,6,69,34,2 serving(s),14,American,"Ingredient 8, Ingredient 14",Slow-cook,shellfish,Summer,Medium,https://example.com/recipe_304
Vegan Stir-Fry 305,No Restrictions,Post-workout,670,5,86,32,2 serving(s),44,Middle Eastern,"Ingredient 6, Ingredient 16",Slow-cook,nuts,Spring,Hard,https://example.com/recipe_305
Tofu Curry 306,Vegetarian,Breakfast,253,9,39,21,3 serving(s),34,International,"Ingredient 6, Ingredient 17",Bake,dairy,All Year,Medium,https://example.com/recipe_306
Oatmeal 307,Mediterranean,Lunch,647,5,82,32,2 serving(s),8,Middle Eastern,"Ingredient 6, Ingredient 19",Air-fry,dairy,Winter,Easy,https://example.com/recipe_307
