Workout_Name,Duration,Intensity,Goal,Level
Running,15,Low,General Fitness,Intermediate
Running,25,High,Flexibility,Beginner
Strength Training,31,High,Muscle Gain,Beginner
Pilates,32,Low,Flexibility,Intermediate
CrossFit,38,Medium,General Fitness,Beginner
Swimming,55,Medium,Flexibility,Intermediate
Yoga,17,Low,Weight Loss,Intermediate
Cardio,31,High,Muscle Gain,Advanced
Cardio,48,High,Endurance,Advanced
Cycling,23,Medium,Muscle Gain,Beginner
Swimming,58,Medium,Muscle Gain,Beginner
Pilates,54,Low,Endurance,Advanced
Strength Training,88,Low,Muscle Gain,Beginner
Running,44,High,General Fitness,Intermediate
HIIT,21,Medium,Endurance,Intermediate
Pilates,24,Medium,Flexibility,Advanced
Cycling,88,Low,Endurance,Advanced
HIIT,87,High,Weight Loss,Advanced
CrossFit,89,Medium,Weight Loss,Intermediate
Swimming,75,Low,Endurance,Beginner
Boxing,23,Low,Muscle Gain,Intermediate
Swimming,24,Medium,Flexibility,Intermediate
CrossFit,29,Medium,Flexibility,Beginner
HIIT,35,Medium,Endurance,Beginner
Cardio,25,Low,Muscle Gain,Advanced
Cardio,41,Low,General Fitness,Intermediate
Running,51,Low,Muscle Gain,Intermediate
Pilates,71,Medium,Flexibility,Intermediate
Cardio,76,High,Endurance,Intermediate
Cardio,89,Medium,Flexibility,Advanced
Boxing,56,Medium,General Fitness,Advanced
CrossFit,63,Low,General Fitness,Advanced
Running,89,Low,Endurance,Intermediate
Strength Training,83,Low,Muscle Gain,Advanced
Strength Training,63,Low,Weight Loss,Advanced
Cardio,61,Medium,General Fitness,Intermediate
Running,43,Medium,Muscle Gain,Beginner
CrossFit,77,Medium,Weight Loss,Beginner
Swimming,83,Medium,General Fitness,Advanced
Yoga,17,Low,Endurance,Beginner
Pilates,51,Low,Weight Loss,Intermediate
Pilates,73,High,General Fitness,Beginner
HIIT,70,High,General Fitness,Intermediate
Boxing,21,High,Muscle Gain,Beginner
Strength Training,50,Medium,General Fitness,Advanced
CrossFit,70,Medium,Flexibility,Intermediate
Cycling,19,Low,Muscle Gain,Beginner
CrossFit,34,Low,Flexibility,Advanced
HIIT,79,Low,Endurance,Intermediate
Cardio,69,Medium,Muscle Gain,Beginner
CrossFit,42,High,General Fitness,Advanced
Running,50,Medium,Muscle Gain,Beginner
CrossFit,47,Medium,Weight Loss,Beginner
Running,27,High,Endurance,Beginner
Strength Training,17,High,General Fitness,Intermediate
Boxing,51,Low,Muscle Gain,Beginner
Boxing,56,Medium,Endurance,Advanced
Swimming,82,High,Endurance,Beginner
Cycling,43,Medium,Weight Loss,Beginner
Yoga,42,Low,General Fitness,Advanced
Strength Training,29,High,General Fitness,Advanced
Strength Training,47,Medium,Weight Loss,Beginner
Boxing,85,Medium,Endurance,Intermediate
Boxing,50,High,Flexibility,Intermediate
Yoga,31,High,Endurance,Advanced
Pilates,64,Medium,Endurance,Beginner
Yoga,22,Low,Flexibility,Beginner
Cardio,17,Medium,General Fitness,Intermediate
Cycling,44,Medium,Weight Loss,Intermediate
CrossFit,20,Low,Endurance,Advanced
CrossFit,55,Low,Endurance,Beginner
Strength Training,77,High,Endurance,Intermediate
Swimming,63,Medium,Endurance,Intermediate
Strength Training,90,High,General Fitness,Beginner
Pilates,44,Medium,Flexibility,Advanced
Pilates,37,Medium,General Fitness,Intermediate
Cycling,86,Low,Flexibility,Intermediate
Boxing,54,Low,Muscle Gain,Advanced
Cycling,20,Medium,Muscle Gain,Beginner
Yoga,17,High,Flexibility,Advanced
Cycling,22,High,Endurance,Beginner
Cardio,83,High,Weight Loss,Advanced
CrossFit,50,Low,Endurance,Advanced
CrossFit,40,Medium,General Fitness,Advanced
Running,76,Medium,Endurance,Intermediate
HIIT,78,High,Weight Loss,Advanced
Cycling,84,Low,Weight Loss,Advanced
Running,81,Medium,Weight Loss,Advanced
HIIT,26,High,Muscle Gain,Advanced
Running,78,Medium,Weight Loss,Intermediate
Yoga,83,Medium,Endurance,Beginner
Boxing,45,High,Endurance,Beginner
Running,77,High,Weight Loss,Beginner
Running,22,Medium,Weight Loss,Intermediate
Strength Training,25,High,Endurance,Intermediate
Swimming,48,Low,Endurance,Beginner
HIIT,76,High,Weight Loss,Advanced
Strength Training,89,High,Muscle Gain,Beginner
Cardio,47,Low,Weight Loss,Advanced
Cardio,23,High,Endurance,Advanced
Running,65,High,Flexibility,Advanced
HIIT,46,Medium,Flexibility,Beginner
Cardio,58,High,Flexibility,Advanced
Running,30,Medium,Weight Loss,Beginner
Yoga,42,High,Weight Loss,Advanced
Boxing,28,High,Muscle Gain,Advanced
Strength Training,21,High,Muscle Gain,Intermediate
HIIT,67,Low,Endurance,Beginner
Strength Training,86,Medium,Weight Loss,Beginner
Yoga,59,Medium,General Fitness,Beginner
CrossFit,58,High,Flexibility,Intermediate
CrossFit,36,Low,Flexibility,Advanced
Cardio,59,Low,Muscle Gain,Beginner
Pilates,40,Medium,Weight Loss,Advanced
CrossFit,42,Low,Flexibility,Beginner
Cycling,78,High,Weight Loss,Advanced
Running,29,Medium,General Fitness,Intermediate
Cycling,63,Medium,General Fitness,Advanced
HIIT,36,Medium,Weight Loss,Beginner
Pilates,55,Low,Muscle Gain,Intermediate
Strength Training,48,Medium,Flexibility,Beginner
Pilates,67,Medium,Weight Loss,Intermediate
HIIT,37,Medium,Endurance,Beginner
HIIT,73,Low,General Fitness,Beginner
Strength Training,67,Low,Flexibility,Advanced
Yoga,48,Low,Muscle Gain,Advanced
Boxing,87,High,Endurance,Beginner
HIIT,18,Medium,Weight Loss,Intermediate
HIIT,40,Medium,Muscle Gain,Beginner
CrossFit,74,Medium,Flexibility,Intermediate
Cardio,34,Low,General Fitness,Advanced
Running,87,High,Weight Loss,Advanced
Boxing,47,High,Muscle Gain,Advanced
Strength Training,82,Medium,Flexibility,Beginner
CrossFit,88,High,Weight Loss,Advanced
Strength Training,43,Low,General Fitness,Advanced
Yoga,78,High,Weight Loss,Intermediate
Running,28,High,Weight Loss,Advanced
Swimming,61,Low,Flexibility,Intermediate
Cycling,31,Medium,General Fitness,Beginner
Cycling,39,High,General Fitness,Advanced
Cycling,89,Medium,Endurance,Beginner
Swimming,32,Low,Flexibility,Advanced
Strength Training,80,High,General Fitness,Beginner
HIIT,42,High,Endurance,Advanced
Cardio,30,Low,Endurance,Beginner
Running,63,Medium,General Fitness,Advanced
Running,19,Low,Muscle Gain,Advanced
Boxing,82,Low,Endurance,Intermediate
Cardio,53,Low,Endurance,Advanced
CrossFit,40,Low,Endurance,Advanced
Running,44,High,General Fitness,Intermediate
Boxing,76,Medium,Flexibility,Advanced
HIIT,48,Low,Endurance,Beginner
Cardio,53,High,Flexibility,Beginner
CrossFit,71,Low,Muscle Gain,Beginner
Cardio,71,High,Muscle Gain,Beginner
Running,55,High,Weight Loss,Beginner
Swimming,44,High,Weight Loss,Advanced
HIIT,55,High,Endurance,Advanced
Yoga,17,Low,Flexibility,Advanced
Swimming,80,Low,Muscle Gain,Advanced
Strength Training,64,High,Muscle Gain,Intermediate
Pilates,73,Medium,Endurance,Beginner
CrossFit,68,Medium,Weight Loss,Intermediate
Yoga,73,Medium,Weight Loss,Intermediate
Strength Training,51,High,Muscle Gain,Advanced
CrossFit,40,Medium,Flexibility,Beginner
Boxing,38,High,Flexibility,Advanced
CrossFit,29,Medium,Endurance,Intermediate
Cycling,58,Low,General Fitness,Advanced
HIIT,65,Low,Muscle Gain,Advanced
HIIT,78,High,Weight Loss,Intermediate
Swimming,22,High,Muscle Gain,Beginner
Running,90,Medium,Weight Loss,Beginner
Boxing,55,High,General Fitness,Beginner
Running,49,Low,Flexibility,Intermediate
Cardio,47,High,Endurance,Intermediate
Cycling,64,High,Weight Loss,Beginner
Yoga,17,Low,Weight Loss,Beginner
Swimming,51,Medium,Weight Loss,Beginner
Swimming,39,High,Muscle Gain,Advanced
Pilates,57,High,Flexibility,Advanced
Pilates,61,Medium,Muscle Gain,Intermediate
CrossFit,70,Medium,Weight Loss,Beginner
Strength Training,86,Low,Flexibility,Advanced
Pilates,48,Medium,Weight Loss,Beginner
HIIT,26,High,Weight Loss,Intermediate
Swimming,29,High,Weight Loss,Advanced
Running,29,Low,Endurance,Intermediate
Cardio,65,Medium,Flexibility,Advanced
HIIT,39,High,Flexibility,Beginner
Running,53,High,Weight Loss,Beginner
Swimming,65,Medium,Flexibility,Intermediate
Boxing,51,High,Flexibility,Beginner
Pilates,30,Low,Weight Loss,Advanced
CrossFit,18,Medium,Muscle Gain,Intermediate
Pilates,30,Low,Endurance,Advanced
Pilates,60,Medium,Endurance,Intermediate
Pilates,84,Medium,Flexibility,Advanced
Yoga,18,High,Weight Loss,Intermediate
CrossFit,62,Medium,General Fitness,Advanced
Pilates,56,Low,Flexibility,Advanced
Cardio,78,Medium,Endurance,Beginner
Boxing,45,Low,Weight Loss,Advanced
Cycling,82,Low,Muscle Gain,Intermediate
Boxing,75,Medium,Endurance,Advanced
Cycling,37,Medium,Endurance,Beginner
HIIT,35,High,Weight Loss,Intermediate
Boxing,77,High,Endurance,Intermediate
HIIT,18,High,General Fitness,Beginner
Pilates,90,Low,General Fitness,Intermediate
Running,53,High,General Fitness,Intermediate
Swimming,73,Medium,Endurance,Advanced
Cycling,47,Medium,Flexibility,Advanced
Cycling,44,Medium,Weight Loss,Intermediate
Swimming,17,Low,Endurance,Advanced
CrossFit,86,High,Flexibility,Intermediate
CrossFit,18,Medium,Endurance,Advanced
HIIT,66,High,Muscle Gain,Intermediate
CrossFit,41,Medium,Flexibility,Intermediate
Running,40,High,General Fitness,Intermediate
Running,32,Medium,Muscle Gain,Intermediate
Boxing,47,High,Endurance,Advanced
Swimming,45,Low,Weight Loss,Intermediate
Swimming,49,Low,Flexibility,Intermediate
Boxing,52,Medium,Endurance,Beginner
Cycling,15,Low,Weight Loss,Advanced
Strength Training,29,Medium,Flexibility,Intermediate
Yoga,62,Medium,Flexibility,Beginner
Cardio,42,Low,Weight Loss,Beginner
Running,65,Medium,Flexibility,Beginner
Cycling,40,Medium,General Fitness,Beginner
Swimming,70,Medium,Weight Loss,Intermediate
Swimming,25,Low,Weight Loss,Beginner
Pilates,52,Medium,Weight Loss,Beginner
Yoga,60,High,Flexibility,Advanced
Swimming,87,Medium,General Fitness,Intermediate
Running,73,High,Weight Loss,Advanced
Swimming,48,Medium,General Fitness,Beginner
Strength Training,16,Low,Muscle Gain,Intermediate
Yoga,37,Medium,Endurance,Beginner
Pilates,70,Medium,Muscle Gain,Advanced
Swimming,61,Medium,Weight Loss,Advanced
Yoga,70,High,Flexibility,Advanced
Yoga,89,High,Muscle Gain,Advanced
Pilates,75,High,Weight Loss,Intermediate
Yoga,90,Low,Endurance,Advanced
Boxing,15,High,Weight Loss,Beginner
HIIT,62,Medium,Flexibility,Advanced
HIIT,78,High,General Fitness,Beginner
Strength Training,44,Medium,Endurance,Intermediate
CrossFit,51,Medium,General Fitness,Advanced
Running,56,Medium,Muscle Gain,Beginner
Pilates,70,High,General Fitness,Advanced
Cardio,64,Low,Flexibility,Advanced
Cycling,90,High,Endurance,Beginner
Strength Training,65,High,General Fitness,Advanced
Cardio,35,High,Weight Loss,Advanced
Cardio,56,Medium,Flexibility,Beginner
Boxing,33,Low,Flexibility,Beginner
Yoga,74,Low,Endurance,Advanced
Running,85,High,Flexibility,Beginner
HIIT,27,Medium,Weight Loss,Beginner
Cardio,62,Low,General Fitness,Intermediate
Yoga,19,Low,Muscle Gain,Intermediate
Running,48,Low,Endurance,Beginner
Boxing,76,High,Flexibility,Beginner
Boxing,35,Low,General Fitness,Intermediate
CrossFit,89,Low,General Fitness,Advanced
HIIT,78,Medium,Weight Loss,Intermediate
Cycling,84,High,General Fitness,Intermediate
Running,25,High,Flexibility,Intermediate
CrossFit,72,Medium,General Fitness,Beginner
Pilates,75,Medium,Weight Loss,Intermediate
Cycling,28,High,Weight Loss,Intermediate
Yoga,66,High,Flexibility,Intermediate
CrossFit,67,High,Weight Loss,Beginner
CrossFit,37,High,Flexibility,Beginner
Pilates,57,Low,Endurance,Advanced
Strength Training,38,Medium,Weight Loss,Intermediate
HIIT,52,Medium,General Fitness,Intermediate
Cycling,54,Medium,General Fitness,Beginner
Pilates,88,Medium,Weight Loss,Beginner
HIIT,85,High,Flexibility,Intermediate
HIIT,23,Low,Weight Loss,Intermediate
Pilates,77,Medium,Flexibility,Beginner
Cardio,17,Medium,General Fitness,Intermediate
Cycling,34,High,Muscle Gain,Beginner
Running,35,Medium,General Fitness,Intermediate
Cardio,71,Low,Muscle Gain,Beginner
HIIT,15,Medium,Muscle Gain,Intermediate
Cardio,18,Medium,Muscle Gain,Advanced
Cycling,25,High,Endurance,Intermediate
Yoga,27,Low,Weight Loss,Beginner
Strength Training,46,Low,Weight Loss,Beginner
Yoga,77,Medium,Endurance,Intermediate
Strength Training,45,Low,Muscle Gain,Advanced
Cycling,40,Medium,Flexibility,Advanced
Pilates,90,Medium,General Fitness,Beginner
Strength Training,38,Medium,Endurance,Beginner
Strength Training,54,Medium,Muscle Gain,Advanced
Strength Training,19,Low,Muscle Gain,Advanced
HIIT,38,Medium,Muscle Gain,Intermediate
Cardio,34,Low,Weight Loss,Intermediate
Swimming,21,Medium,General Fitness,Beginner
Yoga,44,Low,Flexibility,Beginner
Swimming,17,High,Muscle Gain,Beginner
Strength Training,64,Low,Flexibility,Beginner
HIIT,18,High,Flexibility,Intermediate
Swimming,15,High,General Fitness,Intermediate
Swimming,29,High,Endurance,Advanced
Cardio,69,Low,Flexibility,Advanced
Cardio,51,High,Endurance,Advanced
HIIT,22,High,General Fitness,Beginner
Swimming,67,High,Flexibility,Beginner
Yoga,24,Low,Muscle Gain,Beginner
HIIT,59,Low,Muscle Gain,Intermediate
Boxing,60,High,General Fitness,Beginner
CrossFit,48,High,General Fitness,Advanced
Swimming,57,Medium,Muscle Gain,Intermediate
Yoga,31,High,Weight Loss,Beginner
Swimming,84,Medium,Endurance,Advanced
HIIT,55,Low,Weight Loss,Intermediate
Pilates,89,High,General Fitness,Intermediate
Running,87,High,Weight Loss,Beginner
Running,50,Medium,Muscle Gain,Beginner
Strength Training,17,Medium,General Fitness,Beginner
Pilates,15,Low,General Fitness,Intermediate
Boxing,82,High,Muscle Gain,Advanced
Swimming,50,Medium,Muscle Gain,Intermediate
HIIT,77,Low,Weight Loss,Beginner
HIIT,53,High,General Fitness,Advanced
Strength Training,68,Low,General Fitness,Intermediate
Strength Training,15,High,General Fitness,Advanced
Cardio,88,Low,General Fitness,Advanced
Cycling,36,High,Flexibility,Intermediate
Boxing,82,Low,Muscle Gain,Advanced
Yoga,66,High,General Fitness,Advanced
HIIT,57,High,Muscle Gain,Beginner
Cycling,78,Medium,Flexibility,Intermediate
HIIT,28,Low,Weight Loss,Beginner
Boxing,42,High,Flexibility,Intermediate
HIIT,63,Medium,Flexibility,Advanced
Boxing,67,Medium,Flexibility,Beginner
Cycling,71,Medium,Flexibility,Beginner
Strength Training,55,High,General Fitness,Intermediate
Pilates,61,Low,Weight Loss,Intermediate
CrossFit,87,Medium,Weight Loss,Intermediate
HIIT,82,Medium,Endurance,Advanced
CrossFit,72,Low,Muscle Gain,Advanced
Cycling,62,Low,Weight Loss,Advanced
Swimming,49,Low,Weight Loss,Advanced
CrossFit,17,Low,Endurance,Beginner
Cycling,19,Medium,Flexibility,Advanced
CrossFit,23,Low,Flexibility,Intermediate
Cycling,38,Low,Flexibility,Intermediate
Cardio,80,Low,General Fitness,Beginner
Strength Training,56,Low,General Fitness,Intermediate
Running,40,Low,Weight Loss,Intermediate
Boxing,71,Low,Endurance,Beginner
Cardio,40,High,Weight Loss,Beginner
Cycling,69,High,Weight Loss,Intermediate
Pilates,82,Medium,Flexibility,Advanced
Pilates,64,Low,Endurance,Advanced
Swimming,78,Medium,Endurance,Beginner
Cycling,39,High,Flexibility,Beginner
Pilates,51,Medium,Endurance,Advanced
Swimming,45,High,Endurance,Beginner
CrossFit,64,Medium,Flexibility,Beginner
Swimming,51,High,General Fitness,Intermediate
Yoga,26,Low,Muscle Gain,Advanced
HIIT,43,High,Muscle Gain,Advanced
HIIT,83,High,Muscle Gain,Intermediate
Pilates,48,Low,Flexibility,Advanced
Pilates,23,High,Flexibility,Advanced
Cycling,71,Medium,General Fitness,Advanced
Running,31,High,Weight Loss,Advanced
Boxing,63,Medium,General Fitness,Beginner
Boxing,65,Medium,Muscle Gain,Intermediate
Pilates,45,High,Endurance,Advanced
Yoga,16,Low,General Fitness,Intermediate
Strength Training,77,Low,Flexibility,Beginner
Running,59,High,Endurance,Beginner
Swimming,71,Medium,Muscle Gain,Beginner
Yoga,34,Low,Endurance,Beginner
Boxing,69,Medium,Flexibility,Beginner
Strength Training,44,High,Endurance,Beginner
Boxing,70,High,Weight Loss,Advanced
Pilates,53,Low,Endurance,Advanced
HIIT,71,High,General Fitness,Intermediate
Yoga,32,Low,Muscle Gain,Advanced
HIIT,88,Medium,Weight Loss,Advanced
HIIT,60,Medium,Endurance,Beginner
HIIT,34,High,Flexibility,Advanced
Strength Training,29,Medium,Muscle Gain,Intermediate
Pilates,19,Medium,Weight Loss,Beginner
Cardio,20,Medium,Flexibility,Advanced
Strength Training,89,Medium,General Fitness,Intermediate
Running,23,High,Weight Loss,Beginner
Strength Training,79,Low,Flexibility,Intermediate
CrossFit,76,Low,Weight Loss,Intermediate
Cycling,54,Low,Flexibility,Beginner
Swimming,82,High,Weight Loss,Beginner
CrossFit,43,Low,General Fitness,Advanced
Strength Training,20,High,General Fitness,Advanced
HIIT,50,High,Muscle Gain,Beginner
CrossFit,71,High,Muscle Gain,Intermediate
Running,57,Low,Flexibility,Beginner
Running,62,High,Endurance,Beginner
CrossFit,24,Low,Muscle Gain,Beginner
Strength Training,39,High,Muscle Gain,Intermediate
Cycling,67,High,Flexibility,Beginner
Yoga,41,Low,Weight Loss,Intermediate
Boxing,36,High,Flexibility,Intermediate
Cycling,32,High,Endurance,Intermediate
HIIT,55,High,Muscle Gain,Beginner
Cycling,16,Medium,Endurance,Intermediate
Running,39,Low,General Fitness,Intermediate
Yoga,73,High,Muscle Gain,Intermediate
Strength Training,46,Medium,Weight Loss,Intermediate
HIIT,62,Medium,Flexibility,Advanced
CrossFit,44,High,Endurance,Beginner
Cycling,17,Low,Muscle Gain,Advanced
Swimming,22,Medium,Muscle Gain,Advanced
Yoga,77,Low,General Fitness,Advanced
Yoga,84,Low,General Fitness,Intermediate
Boxing,68,High,Flexibility,Intermediate
Cardio,88,Low,General Fitness,Advanced
HIIT,42,High,Muscle Gain,Intermediate
Pilates,32,Low,Muscle Gain,Beginner
Strength Training,40,High,Endurance,Intermediate
Swimming,70,High,General Fitness,Intermediate
Cardio,67,Medium,Flexibility,Intermediate
Cardio,24,Low,Weight Loss,Beginner
Pilates,51,Low,Endurance,Intermediate
Running,57,High,Endurance,Advanced
Pilates,88,High,Endurance,Advanced
Boxing,25,High,Flexibility,Intermediate
CrossFit,74,Low,General Fitness,Intermediate
Strength Training,42,High,Weight Loss,Beginner
Running,39,High,General Fitness,Intermediate
Swimming,69,Low,Flexibility,Intermediate
Cardio,83,High,Endurance,Beginner
Swimming,27,Medium,Endurance,Advanced
Yoga,59,High,Muscle Gain,Beginner
Strength Training,24,Medium,General Fitness,Intermediate
Pilates,32,Medium,Flexibility,Beginner
Yoga,23,Low,Flexibility,Intermediate
Pilates,77,Medium,Endurance,Intermediate
Cardio,62,Low,Muscle Gain,Advanced
Cardio,18,Low,General Fitness,Advanced
Strength Training,44,Medium,Endurance,Beginner
Cardio,42,Medium,Flexibility,Beginner
Boxing,77,High,General Fitness,Beginner
Cycling,22,Low,Endurance,Advanced
Running,40,Low,Muscle Gain,Advanced
Cardio,76,High,Weight Loss,Beginner
Pilates,61,Low,Endurance,Beginner
HIIT,32,High,Endurance,Advanced
Swimming,82,Low,Flexibility,Advanced
CrossFit,21,High,Flexibility,Advanced
CrossFit,48,Medium,Weight Loss,Beginner
Strength Training,25,High,General Fitness,Intermediate
Running,34,Low,General Fitness,Advanced
Pilates,56,Low,Flexibility,Beginner
Yoga,87,Low,Flexibility,Advanced
CrossFit,56,Low,Flexibility,Advanced
Cardio,40,High,General Fitness,Advanced
Cardio,82,Medium,General Fitness,Advanced
Cardio,34,High,Weight Loss,Intermediate
Running,60,Low,General Fitness,Intermediate
Cardio,20,Medium,Weight Loss,Advanced
Swimming,24,Medium,General Fitness,Intermediate
Cycling,61,High,Weight Loss,Advanced
Yoga,63,Medium,Weight Loss,Intermediate
Strength Training,70,High,General Fitness,Advanced
CrossFit,23,Low,Muscle Gain,Intermediate
CrossFit,54,Medium,Weight Loss,Beginner
Strength Training,30,Medium,Endurance,Beginner
Swimming,22,Medium,Endurance,Beginner
Running,57,Medium,Muscle Gain,Advanced
Strength Training,15,High,General Fitness,Advanced
Cardio,47,Medium,Muscle Gain,Intermediate
CrossFit,87,High,Weight Loss,Beginner
Pilates,47,Medium,General Fitness,Advanced
Running,39,Medium,Weight Loss,Intermediate
Pilates,20,Medium,Weight Loss,Advanced
Swimming,54,Low,Flexibility,Beginner
Swimming,43,Low,Weight Loss,Intermediate
Running,20,Medium,Flexibility,Intermediate
Cardio,70,High,Endurance,Intermediate
Swimming,53,Low,Flexibility,Beginner
Cycling,56,Medium,Muscle Gain,Advanced
HIIT,59,Medium,General Fitness,Advanced
Running,61,Low,Weight Loss,Intermediate
Cycling,81,Low,Endurance,Intermediate
Cardio,22,Medium,Endurance,Intermediate
Pilates,86,Medium,Muscle Gain,Advanced
CrossFit,44,High,General Fitness,Advanced
HIIT,23,High,Weight Loss,Intermediate
Pilates,47,Medium,Weight Loss,Advanced
Cardio,32,Medium,General Fitness,Advanced
Cardio,75,Low,Weight Loss,Beginner
Running,25,High,Muscle Gain,Advanced
Cycling,67,High,General Fitness,Intermediate
HIIT,90,Medium,Muscle Gain,Beginner
Swimming,62,Medium,Flexibility,Advanced
Strength Training,42,High,Flexibility,Beginner
Pilates,46,High,Weight Loss,Beginner
Cycling,40,High,Flexibility,Advanced
Cardio,56,Low,Muscle Gain,Advanced
Cardio,28,Low,General Fitness,Beginner
HIIT,22,Medium,General Fitness,Advanced
CrossFit,45,Medium,Weight Loss,Intermediate
CrossFit,42,Medium,Muscle Gain,Advanced
Boxing,59,Low,General Fitness,Advanced
Cardio,56,Low,Muscle Gain,Advanced
Cardio,83,Medium,Weight Loss,Beginner
Swimming,47,Low,Muscle Gain,Beginner
Running,51,Low,Muscle Gain,Beginner
Boxing,88,Medium,Weight Loss,Intermediate
Yoga,41,High,Weight Loss,Advanced
Swimming,44,High,Weight Loss,Intermediate
HIIT,27,Low,Weight Loss,Advanced
Yoga,74,Medium,Flexibility,Intermediate
Boxing,58,Low,Weight Loss,Beginner
Swimming,24,High,Muscle Gain,Beginner
Boxing,54,High,Weight Loss,Beginner
Boxing,52,Low,General Fitness,Advanced
Swimming,34,Low,Muscle Gain,Beginner
Strength Training,18,High,Weight Loss,Advanced
Yoga,77,Medium,Muscle Gain,Advanced
Boxing,89,Medium,Muscle Gain,Beginner
Running,30,Medium,Weight Loss,Advanced
CrossFit,55,Low,Muscle Gain,Advanced
Running,72,High,Muscle Gain,Advanced
Cycling,69,Medium,General Fitness,Advanced
Cardio,76,High,Endurance,Intermediate
Pilates,61,Low,Endurance,Beginner
Pilates,63,High,General Fitness,Intermediate
Strength Training,59,High,Flexibility,Advanced
Yoga,75,High,General Fitness,Advanced
Running,70,Medium,Flexibility,Advanced
Cardio,48,Low,Muscle Gain,Advanced
Cycling,42,Medium,Weight Loss,Beginner
HIIT,47,High,Flexibility,Intermediate
Pilates,67,High,Weight Loss,Intermediate
Boxing,36,High,Flexibility,Beginner
HIIT,27,High,Muscle Gain,Beginner
Cycling,41,Low,General Fitness,Beginner
Pilates,39,Medium,General Fitness,Advanced
Pilates,34,High,Endurance,Intermediate
Pilates,65,Low,Flexibility,Intermediate
HIIT,72,Low,Flexibility,Advanced
Pilates,83,Medium,Endurance,Intermediate
CrossFit,27,Low,Muscle Gain,Intermediate
Swimming,41,High,Flexibility,Beginner
Boxing,49,Medium,Endurance,Intermediate
Cardio,20,High,General Fitness,Advanced
Running,60,Medium,General Fitness,Beginner
Strength Training,90,Low,Weight Loss,Advanced
Pilates,56,Medium,Endurance,Advanced
Cycling,77,Low,Weight Loss,Advanced
Swimming,20,Medium,Muscle Gain,Intermediate
Strength Training,21,High,Muscle Gain,Intermediate
Running,72,High,Flexibility,Advanced
Strength Training,61,High,Endurance,Advanced
Cardio,58,High,Endurance,Advanced
Yoga,27,High,Flexibility,Intermediate
Strength Training,88,Medium,Endurance,Intermediate
HIIT,66,High,Muscle Gain,Advanced
Boxing,41,High,Weight Loss,Intermediate
CrossFit,81,Low,Weight Loss,Intermediate
HIIT,56,High,General Fitness,Beginner
Cycling,21,Low,Endurance,Advanced
Swimming,78,High,Endurance,Intermediate
Yoga,52,Medium,Muscle Gain,Intermediate
Strength Training,37,Medium,Weight Loss,Beginner
Boxing,16,High,Muscle Gain,Intermediate
Boxing,58,High,General Fitness,Advanced
Cardio,30,Medium,General Fitness,Intermediate
Boxing,44,High,Weight Loss,Beginner
Yoga,17,High,Muscle Gain,Intermediate
Cardio,33,Medium,Weight Loss,Intermediate
Running,66,Medium,Muscle Gain,Intermediate
Swimming,59,Medium,Flexibility,Intermediate
HIIT,42,Medium,Weight Loss,Beginner
Strength Training,90,Low,Flexibility,Beginner
Pilates,53,Low,Weight Loss,Advanced
Yoga,30,High,Flexibility,Beginner
Strength Training,80,Medium,Weight Loss,Beginner
Cycling,46,Medium,Flexibility,Intermediate
Strength Training,90,Medium,Flexibility,Advanced
Cycling,33,Medium,Muscle Gain,Advanced
Pilates,43,Medium,General Fitness,Advanced
Cardio,42,Low,Muscle Gain,Beginner
Cycling,54,High,Weight Loss,Intermediate
Running,28,Low,Endurance,Beginner
Yoga,32,Medium,Muscle Gain,Intermediate
CrossFit,15,Medium,Flexibility,Advanced
Cycling,38,High,General Fitness,Beginner
Running,81,Medium,Flexibility,Advanced
Running,15,High,Endurance,Intermediate
HIIT,89,High,Flexibility,Advanced
Yoga,51,Low,Endurance,Beginner
Cardio,85,High,Flexibility,Beginner
CrossFit,46,Medium,Flexibility,Advanced
Swimming,31,Low,General Fitness,Advanced
Swimming,57,High,Endurance,Beginner
Cycling,26,High,Flexibility,Beginner
Swimming,33,Low,Flexibility,Advanced
HIIT,27,Medium,Flexibility,Intermediate
HIIT,47,Low,General Fitness,Beginner
Swimming,62,Low,Flexibility,Intermediate
Yoga,32,High,Muscle Gain,Beginner
Pilates,62,High,Flexibility,Intermediate
HIIT,88,Medium,Flexibility,Intermediate
Cycling,55,Low,Weight Loss,Beginner
Running,70,Medium,Flexibility,Advanced
Strength Training,55,Medium,General Fitness,Advanced
Boxing,57,Low,General Fitness,Intermediate
CrossFit,39,Medium,Muscle Gain,Advanced
HIIT,44,High,Flexibility,Beginner
Boxing,33,Medium,Weight Loss,Beginner
Running,36,High,Flexibility,Advanced
Running,85,Medium,General Fitness,Intermediate
Swimming,60,Medium,Muscle Gain,Advanced
Boxing,53,High,Flexibility,Advanced
Yoga,23,Low,Weight Loss,Intermediate
Pilates,41,Low,Muscle Gain,Intermediate
Pilates,61,Low,Weight Loss,Intermediate
Swimming,16,Medium,General Fitness,Advanced
Pilates,34,High,Flexibility,Beginner
Yoga,50,High,Weight Loss,Beginner
Pilates,44,Low,Weight Loss,Intermediate
Cycling,24,Low,Endurance,Beginner
Cycling,46,Low,Flexibility,Advanced
CrossFit,32,Medium,General Fitness,Beginner
Swimming,43,High,Muscle Gain,Beginner
Swimming,37,High,Flexibility,Beginner
Running,18,Medium,Muscle Gain,Beginner
Pilates,40,High,General Fitness,Beginner
